"id","jira_parent_id",candidate_id,"project_id","ticket_number","interview_number","interview_type","interview_technology","interview_language","interview_seniority_level","task_status","task_created_date","interview_date","subjective_readiness","interviewer_comment","project_name"
765,349,32,66,SPT-15703,2,TECH,BusinessAnalyst,RUSSIAN,J2,DONE,"2022-07-18 09:35:28","2022-07-19 14:00:00",65.0,"Сильные стороны: Достаточно хорошо разбирается в Agile методологии. Хорошее понимание работы команды по Scrum. Есть опыт проектирования UML диаграмм. Хорошо знакома с методами сбора требований. Знакома с документацией, назвала основные и охарактеризовала разделы. Знает варианты документирования требований. Хорошо разбирается в структуре US и UC. Работала с ГОСТ 34. Хорошее знание нотации BPMN и опыт её применения. Развитые коммуникативные навыки, есть опыт программирования на PHP.

Слабые стороны: Критерии качества требований, принципы RESTfull API, протоколы взаимодействия работы брокера сообщений Kafka, функции СУБД, нормализация данных в реляционной БД, операторы манипуляции данных, операторы группировки данных, виды приложения, виды тестирования, функциональное тестирование (метод белого и черного ящика)

",Альфа-банк
767,350,12202,1218,SPT-15701,2,TECH,Java,ENGLISH,M2,DONE,"2022-07-18 09:23:18","2022-07-19 11:30:00",65.0,"Сильные стороны:
Very positive guy
Слабые стороны:
Terrible java core, thin knowledge in other core technologies
",Quincus
769,470,6670,195,SPT-15699,3,TECH,Java,RUSSIAN,,DONE,"2022-07-18 09:04:54","2022-07-19 12:00:00",65.0,"С прошлого раза уже получше, но все еще плавает в практических вопросах, а также на нестандартных теоретических
",Философия ИТ
771,234,3851,954,SPT-15696,4,TECH,QAAutomationJava,ENGLISH,M3,DONE,"2022-07-18 08:25:14","2022-07-18 16:00:00",90.0,"Сильные стороны: Умеет слушать и работать над ошибками. Хороший опыт работы с разными инструментами и приложениями. Самопрезентация хорошая, ответы на вопросы правильные в основном. Задачу решил

Слабые стороны: Сложно выделить свою работу и рассказать про это. Но замечания услышал и улучшил свои ответы.

",Backbase
772,465,8497,195,SPT-15693,3,TECH,Java,RUSSIAN,,DONE,"2022-07-18 08:16:44","2022-07-19 14:00:00",50.0,"Сильные стороны: Java

Слабые стороны: docker, kubernetes, Kafka

",Философия ИТ
774,454,760,259,SPT-15691,2,TECH,ProjectManagement,ENGLISH,M1,DONE,"2022-07-18 08:07:49","2022-07-18 12:00:00",60.0,"Сильные стороны: За счет продолжительного времени работы в ИТ много практических кейсов, знает как выйти из ситуаций в более выгодном положении. Приятный в общении, с ходу располагает к себе. 

Слабые стороны: Если в чем-то неуверен, или недостаточно знаком с темой, начинает лить много воды. Это и положительный и отрицательный момент: на вопрос отвечает, не молчит, но не получаешь конкретный ответ на свой вопрос и начинаешь терять суть разговора. 
Мало опыта работы с change management. Задачи больше рассматривает с точки зрения ПК

",Yara International
775,481,647,16,SPT-15690,3,TECH,Java,RUSSIAN,M3,CANCEL,"2022-07-18 08:04:33","2022-07-21 12:00:00",,"Сильные стороны:

Слабые стороны:

",Яндекс Медиалаб
777,448,1080,983,SPT-15688,2,TECH,QA mobile,RUSSIAN,M2,DONE,"2022-07-18 08:02:27","2022-07-18 14:00:00",90.0,"Сильные стороны: Уверенно держался, приводил множество примеров из личного опыта, знаком с тестированием мобильных приложений и их особенностями.

Слабые стороны:
Необходимо углубиться в особенности архитектуры мобильных приложений на iOS и Android, не хватает практического опыта работы с мобильными приложениями на более глубоком уровне
",StormPay
778,393,10115,195,SPT-15686,2,TECH,React,RUSSIAN,,DONE,"2022-07-18 07:54:20","2022-07-19 12:00:00",65.0,"Сильные стороны: Общие вопросы(ооп, фп, работа с запросами)

Слабые стороны: заходит издалека, когда можно назвать четкие пункты, решение практических задач(повторить методы массивов, строк, и побольше попрактиковаться)

",Философия ИТ
780,383,177,1272,SPT-15683,2,TECH,ProjectManagement,RUSSIAN,M3,DONE,"2022-07-18 07:42:05","2022-07-18 08:00:00",90.0,"Сильные стороны: Good understanding of the framework and relevant experience from previous projects to complement theory.

Слабые стороны: English level drops during the conversation. 
",Kapital Bank Open Joint-Stock Company
781,385,12716,164,SPT-15681,3,TECH,BusinessAnalyst,RUSSIAN,M2,DONE,"2022-07-18 07:30:55","2022-07-20 07:00:00",80.0,"Сильные стороны:
- Сильные коммуникативные навыки
- Чувствуется практический опыт и он релевантен
- Неплохо знаком с методами сбора требований, хотя на практическом кейсе по их применению не было уверенности.

Слабые стороны:
- Не знаком с SCRUM
- Не очень знаком с теорией Use Case и структурой Use Case
- Не знаком с GHERKIN
- Не знаком с UML (очень мало и только в теории)
- BPM - не смог назвать типы гейтов
- Не знает и не понимает ГОСТ 34 
- Не знаком с RPC протоколами
- Не знает принципов/ ограничений REST
",МТС Диджитал
784,165,3589,66,SPT-15678,7,TECH,React,RUSSIAN,J2,CANCEL,"2022-07-18 07:14:57","2022-07-20 13:00:00",,"Сильные стороны:

Слабые стороны:

",Альфа-банк
789,193,12214,922,SPT-15671,2,TECH,React,ENGLISH,M2,DONE,"2022-07-17 20:10:04","2022-07-18 11:00:00",65.0,"Сильные стороны:
What is app optimization?
Optimization tools?
How does browser work?
Core web vitals
What are repaint, reflow?
Critical CSS
Scripts Async/  Defer
Metrics
React Optimization
Critical Path of Rendering
SSR
React optimization
Lazy Loading
useRef vs useState
Redux vs React Context

Слабые стороны:
!!! Нужно больше конкретной информации на каждый из заданных вопросов.
Нужно почитать об инструментах для проверки метрик
Нужно почитать об основных CWV метриках?
NextJS Images
Hydration
",Moovforge
791,500,4445,983,SPT-15668,2,TECH,QAManual,RUSSIAN,J2,DONE,"2022-07-15 19:02:54","2022-07-18 09:00:00",80.0,"Сильные стороны: Хорошее знание теоретической базы QA, умение развивая свою мысль выйти на нужный ответ в сложных вопросах.

Слабые стороны: Нужно больше уделить внимания практическим заданиям.

",StormPay
794,586,316,675,SPT-15665,3,TECH,Java,RUSSIAN,J2,DONE,"2022-07-15 16:43:22","2022-07-18 10:00:00",75.0,"Сильные стороны: SQL, Java core

Слабые стороны: Hibernate, Spring Boot, микросервисные паттерны.				

",I-Teco
795,472,7734,66,SPT-15664,2,TECH,BusinessAnalyst,RUSSIAN,J3,DONE,"2022-07-15 15:45:21","2022-07-18 14:00:00",50.0,"Сильные стороны: архитектура, сервисы, синхронное / асинхронное взаимодействие

Слабые стороны: виды МП, алгоритмы, написание SQL-запросов

",Альфа-банк
797,181,7662,1284,SPT-15662,3,TECH,Java,RUSSIAN,,DONE,"2022-07-15 14:47:02","2022-07-18 12:00:00",90.0,"Дорошенко Роман имеет 2-летний опыт автоматизации в стеке Java+Selenium+RestAssured+Log4J+Allure+MySQL/MongoDB, имеет опыт в нагрузочном тестировании с JMeter. Рекомендации: подготовить пример использования git hooks и stages in Jenkins pipeline, изучить graphQL как альтернативу RestAssured, повторить TestNG parallelisation types и профили в maven                            				",Ростелеком - Контакт Центр
798,580,112,1218,SPT-15660,1,TECH,Java,ENGLISH,M3,CANCEL,"2022-07-15 14:32:31","2022-07-19 10:00:00",,"Сильные стороны:

Слабые стороны:

",Quincus
799,488,7747,1389,SPT-15659,1,TECH,NodeJs,ENGLISH,,DONE,"2022-07-15 14:05:35","2022-07-19 06:00:00",65.0,"Сильные стороны: знания по опрошенным темам

Слабые стороны: мало уверенности, 

",Laba_Sales
800,474,3470,195,SPT-15658,1,TECH,React,RUSSIAN,,DONE,"2022-07-15 14:04:37","2022-07-18 14:00:00",55.0,"Сильные стороны: Хорошее понимание асинхронности и основ JS, React.

Слабые стороны: Тяга к ""усложнению"" - задача на алгоритмы была решена неоптимальным способом, а некоторые ответы излишне обширными",Философия ИТ
801,493,2552,633,SPT-15656,2,TECH,ProjectManagement,ENGLISH,J3,DONE,"2022-07-15 13:52:50","2022-07-18 13:00:00",40.0,"Сильные стороны: 
- Couple of projects to base examples of experience
- Fluent english 

Слабые стороны:
- Lack of practical examples when answering questions
- Weak self-presentation
",Synchtank
803,395,12716,805,SPT-15643,2,TECH,SystemAnalyst,RUSSIAN,M3,DONE,"2022-07-15 12:32:01","2022-07-18 10:00:00",77.27,"Сильные стороны: Большой опыт в сборе и описанию требований, интеграций как по REST, так и SOAP. Использует многие техники и методики при работе с Бизнес-заказчиком. Интересуется и изучает последние подходы и аннотации. 

Слабые стороны: Теоретическое подкрепление (структурирование практического опыта), работа с БД (mySQL) на уровне видо-уроков, без практических кейсов, раскрыть ценность DevOps на проекте. Типы и основные структуры документов.

",Ингосстрах-Инвестиции
804,238,4873,488,SPT-15641,2,TECH,iOS,ENGLISH,,DONE,"2022-07-15 12:18:03","2022-07-20 13:00:00",75.0,"Сильные стороны: Имеет опыт в CoreData, Data structures. 

Слабые стороны: Многопоточность. Иногда бывает сложно уловить суть вопроса, нужно больше изучать тех часть из англоязычных ресурсов.

",Space (Neobank)
806,137,10374,1157,SPT-15639,4,TECH,QAPerformance,RUSSIAN,J1,DONE,"2022-07-15 12:08:15","2022-07-18 10:30:00",70.0,"Сильные стороны:
Виден прогресс в изучении материала, коммуникабельность, задает вопросы, если что-то не понятно.
Слабые стороны:
Отсутствие практического опыта с инструментами.
",ПАО Банк «ФК Открытие»
808,393,10115,195,SPT-15636,1,TECH,React,RUSSIAN,,DONE,"2022-07-15 10:21:04","2022-07-15 13:00:00",60.0,"Сильные стороны: HTML, CSS, теория Js(замыкание)

Слабые стороны: решение задач и live coding по темам js(promise, event loop, hoisting, context, приведение типов)

",Философия ИТ
810,437,3023,261,SPT-15632,2,TECH,React,ENGLISH,M2,DONE,"2022-07-15 09:49:01","2022-07-18 09:00:00",95.0,"Сильные стороны:
Отвечал уверенно, на многие вопросы смог дать развернутый ответ, есть опыт работы в команде, хороший уровень английского

Слабые стороны:
Не очень большой опыт в тестировании и оптимизации
",BIKE24
812,503,11009,270,SPT-15625,1,TECH,QAAutomationJava,RUSSIAN,,DONE,"2022-07-15 09:12:54","2022-07-19 11:00:00",60.0,"Хорошие теоретические знания, есть пробелы, нужно проработать пробелы. Замотивирован. Немного волнуется. Изучает технологии в нерабочее время.
Прошлись по git, message broker, OOP.",M10 (PayPoint)
814,475,7756,195,SPT-15623,3,TECH,React,RUSSIAN,,DONE,"2022-07-15 08:51:14","2022-07-18 07:00:00",90.0,"Сильные стороны: Хорошая подготовка, подтянуты знания по замечаниям с предыдущего интервью (в некоторых моментах остались недопоминания. Их постарались разобрать)

Слабые стороны: Нужно посмотреть в Promises конструкцию then(null, err =>{}), как передавали / получали данные до CORS, как отменить fetch,  различия xhr и fetch,  какие значимые Browser API используются в Event loop, разница Component и PureComponent, 2 вида сложности алгоритма (временная и по памяти),  что происходит после ввода url в браузерную строку и нажития Enter,  AJAX, SOLID

",Философия ИТ
815,429,11540,1218,SPT-15621,2,TECH,Java,ENGLISH,M2,DONE,"2022-07-15 08:43:39","2022-07-15 12:00:00",85.71,"Сильные стороны:
good base knowledge
Слабые стороны:
Has no experience in DynamoDB, Selenium (in stack of customer)
",Quincus
817,476,7664,66,SPT-15617,8,TECH,QAManual,RUSSIAN,,DONE,"2022-07-15 07:58:52","2022-07-18 07:00:00",95.0,"Сильные стороны: очень уверенные знания

Слабые стороны: чуть более углубленно соап юай

",Альфа-банк
819,584,8321,1218,SPT-15614,1,TECH,Java,ENGLISH,M2,DONE,"2022-07-15 07:19:26","2022-07-18 14:00:00",50.0,"Сильные стороны: concentrated only on weaknesses

Слабые стороны: sql, collections, spring core, Mockito lib is missed

",Quincus
820,465,8497,195,SPT-15613,2,TECH,Java,RUSSIAN,,DONE,"2022-07-15 07:14:36","2022-07-16 09:00:00",80.0,"Сильные стороны:
Быстро понимает в какую сторону нужно размышлять
Достаточно даже не большой подсказки

Слабые стороны:
Базовая теория
",Философия ИТ
821,313,2016,463,SPT-15611,2,TECH,QAManual,RUSSIAN,,DONE,"2022-07-15 06:32:39","2022-07-15 11:00:00",0.0,"даны необходимые материалы, по нужной кандидату теме

",Техносерв ВТБ Страхование
823,354,1533,488,SPT-15602,1,TECH,Android,ENGLISH,,DONE,"2022-07-14 15:52:19","2022-07-19 13:00:00",66.0,"Сильные стороны:

Слабые стороны: koin, tests, coroutines

",Space (Neobank)
824,185,12207,729,SPT-15601,2,TECH,dotNET,ENGLISH,M2,DONE,"2022-07-14 15:46:30","2022-07-19 06:00:00",80.0,"Сильные стороны:
.Net basics, .Net web api, SQL, Tests (Frontend and Backend), Typescript, React
Слабые стороны:
Check Cosmos DB or Mongo DB (in deep)
Continue improving React knowledge
DDD (check the main topics related)
Monorepository check the pattern
",Publicis Media DE
825,131,665,488,SPT-15596,5,TECH,iOS,ENGLISH,,DONE,"2022-07-14 14:42:13","2022-07-18 13:00:00",70.0,"Сильные стороны: Четко и достаточно уверенно выражал свои мысли на английском. Имеет хорошую теоретическую базу во фреймворке Combine. Знает и понимает ключевые темы.

Слабые стороны: Есть достаточно большие пробелы в операторах Combine.

",Space (Neobank)
826,292,7642,993,SPT-15594,3,TECH,Java,RUSSIAN,M1,DONE,"2022-07-14 14:31:33","2022-07-19 07:00:00",90.0,"Сильные стороны:
Отлично закрыл почти все пробелы с прошлого прогона, грамотная речь
Слабые стороны:
Не хватает знаний паттернов микросервисов (верхнеуровнево)
",GMCS
827,276,7348,113,SPT-15591,2,TECH,UXUI,ENGLISH,J1,DONE,"2022-07-14 14:14:34","2022-07-18 12:00:00",45.0,"Maxim has theoretical knowledge without experience. He need to work on self presentation, case presentation and confidence while speaking.

Self presentation
Present yourself, career switch from delevopment
Tools you use
Laboratory experience, projects (web,mobile)
Whats you skills are 

Case presentation
What the project about
Select one screen(flow) and describe from problem to decision 
What challenges you’ve faced, what have you done to overcome it
How you do responsive UI


Working process
Describe your design process 
Ask for the design scope and tasks as well as it decomposition
Be responsible for the clarifications 
Ask for daily meetings",s.Oliver Group
828,287,7744,113,SPT-15590,2,TECH,UXUI,ENGLISH,J1,DONE,"2022-07-14 14:13:49","2022-07-15 09:30:00",70.0,"Alexandra has very good theoretical knowledge. She have answered most of the questions. She need to work on self-presentation and case presentation.

Self presentation
Present yourself, career switch
Tools you use
Laboratory experience, projects
Whats you skills are 

Case
What the project about
Select one screen(flow) and describe from problem to decision 
What challenges you’ve faced, what have you done to overcome it
How you do responsive UI

Working process
Describe your design process 
Ask for the design scope and tasks as well as it decomposition
Be responsible for the clarifications 
Ask for daily meetings",s.Oliver Group
830,374,2605,164,SPT-15588,2,TECH,BusinessAnalyst,RUSSIAN,M1,DONE,"2022-07-14 12:55:22","2022-07-15 07:00:00",100.0,"Сильные стороны:
Опыт работы более 4-х лет. Опыт работы с реляционными базами данных и SQL запросами, имеет навыки программирования и понимает как выстраивается архитектура современных приложений. Знает и умеет проектировать взаимодействия с использованием REST подхода, асинхронного обмена сообщения и других способов интеграции

Слабые стороны:
Для уровня M1 слабых сторон не отмечено
",МТС Диджитал
832,369,77,331,SPT-15586,2,TECH,QAAutomationJava,ENGLISH,M2,CANCEL,"2022-07-14 12:18:47","2022-07-15 13:30:00",,"Сильные стороны:

Слабые стороны:

",Laya Technologies
833,385,12716,164,SPT-15585,2,TECH,BusinessAnalyst,RUSSIAN,M2,DONE,"2022-07-14 12:14:45","2022-07-15 06:00:00",85.0,"Сильные стороны:
Кандидат имеет богатый опыт работы в банковской сфере и сфере страхования, в т.ч. и как бизнес-аналитик. Имеет опыт работы с требованиями от заказчика, их документированием, передачей на разработку и последующей проверке (тестировании) реализации на соответстветствие требованиям.

Слабые стороны:
Не имеет опыта документирования требований в виде V&S, SRS, ТЗ по ГОСТ документов. Требования всегда документировал в свободной форме.
Слабо используется в работе BPMN нотацию и не имеет опыта использования нотации UML
",МТС Диджитал
836,398,7607,195,SPT-15582,2,TECH,Java,RUSSIAN,,DONE,"2022-07-14 11:39:23","2022-07-19 06:00:00",70.0,"Сильные стороны: неплохо размышляет, есть некоторые теоретические знания

Слабые стороны: нужно структурировать знания по некоторым технологиям, подтянуть вопросы по прошлому проекту и опыту

",Философия ИТ
839,475,7756,195,SPT-15578,2,TECH,React,RUSSIAN,,DONE,"2022-07-14 10:55:46","2022-07-14 15:00:00",85.0,"Сильные стороны: хорошая подготовка, уверенное изложение

Слабые стороны: Нужно повторить следующие темы: AJAX, ООП, SOLD, виды систем контроля версий и примеры на каждую, отличие merge и rebase, статус-коды http, отличие fetch и rebase, проверка на NaN, что возвращают ""удаляющие"" методы массивов (pop, splice, shift ...), рассмотреть примеры потери контекста, разобраться, почему так происходит

",Философия ИТ
841,430,4737,993,SPT-15576,2,TECH,React,RUSSIAN,,DONE,"2022-07-14 10:49:12","2022-07-14 13:00:00",97.0,"Сильные стороны: Хорошая подготовка. Отвечал уверенно.

Слабые стороны: Пересмотреть методы массивов, обратить внимание, что возвращают ""удаляющие"" элементы массива методы (pop, splice, shift), цепочку промисов, посмотреть создание Error Boundary и методы, особенности использования useCallback, посмотреть разницу fetch и xhr, виды систем контроля версий, примеры каждой, разница git merge и git rebase

",GMCS
842,305,12373,831,SPT-15575,2,TECH,Java,ENGLISH,S2,DONE,"2022-07-14 10:48:00","2022-07-15 15:00:00",80.0,"Сильные стороны: имеет опыт лидства, переспрашивает вопросы, если не понял. Неплохо ориентирует по проекту. Писал си/сд пайплайны

Слабые стороны: --

",Transporeon
843,295,4212,718,SPT-15574,2,TECH,QAAutomationPython,RUSSIAN,M1,DONE,"2022-07-14 10:45:42","2022-07-14 13:00:00",85.0,"Сильные стороны:
python, pytest
Слабые стороны:	
самопрезентация",Exinity
844,297,200,718,SPT-15573,2,TECH,QAAutomationPython,RUSSIAN,J3,DONE,"2022-07-14 10:40:26","2022-07-14 12:00:00",80.0,"Сильные стороны:
python, pytest, mobile automation(appium), gitlab ci experience
Слабые стороны:
самопрезентация, разработка фреймворка с нуля
",Exinity
848,470,6670,195,SPT-15564,2,TECH,Java,RUSSIAN,,DONE,"2022-07-14 09:28:12","2022-07-15 12:00:00",50.0,"плавает в большинстве тем, нужно больше времени на подтянуть

",Философия ИТ
849,322,3926,331,SPT-15563,2,TECH,QAManual,ENGLISH,S1,DONE,"2022-07-14 09:25:24","2022-07-15 14:00:00",95.0,"Сильные стороны:
Рома хорошо рассказал про этапы внедрения тестирования выбор инструментов и внедрение автоматизации, звучал как уверенный сениор, поэтому думаю что вероятность прохождения собеса около 95%

Слабые стороны:
Меньший опыт в автоматизации по сравнениню с мануалкой (но не думаю что это критично тк запрос был на фуллстэка)

",Laya Technologies
851,271,7776,396,SPT-15560,2,TECH,SystemAnalyst,RUSSIAN,,DONE,"2022-07-14 09:07:47","2022-07-18 12:00:00",85.0,"Сергей имеет хорошие теоретические знания как CA, подкрепленные практикой.
Знания БА чисто теоретические, на примерах выявления первоначальных требований или взаимодействия по созданию документации имеющихся сервисов  - терялся, переспрашивал, не знал, как подойти., т.е. испытывал трудности решения реальных кейсов.
Чувствуется, что немного теряется, когда касается момоентов отстутствия практики, но при этом старается логически мыслить и искать пути решения.


",Ростелеком #2
852,294,6715,396,SPT-15559,3,TECH,SystemAnalyst,RUSSIAN,,DONE,"2022-07-14 09:03:24","2022-07-18 10:00:00",95.0,"Оксана показала хорошие теоретические знания работы как БА так и СА, метами подкрепленные практикой на учебных проектах.
Хорошо знает, как выявлять требования используя различные источники, а таже о методах документирования.
На мой взгляд, Оксана полностью соответствует описанным требованиям к деманду.


",Ростелеком #2
857,326,11688,793,SPT-15548,2,TECH,dotNET,ENGLISH,M3,DONE,"2022-07-14 07:56:24","2022-07-15 11:00:00",80.0,"Сильные стороны:
Solid understanding of C#, dotnet, EF, and core technologies

Слабые стороны:
Lack of deep understanding of some required technologies (Kubernetes, OAuth), lack of practical experience with AWS
",IHS
858,465,8497,195,SPT-15546,1,TECH,Java,RUSSIAN,,DONE,"2022-07-14 07:50:37","2022-07-14 14:00:00",70.0,"Сильные стороны:
Хорошо мыслит и размышляет
Хорошие знания hibernate

Слабые стороны:
Нужно подтянуть теорию и практику микросервисного подхода
Пробелы в java и spring
",Философия ИТ
860,481,647,16,SPT-15541,2,TECH,Java,RUSSIAN,M3,DONE,"2022-07-14 07:13:52","2022-07-15 09:00:00",75.0,"Сильные стороны:
Может разложить задачу на простые действия и описать их в коде
Слабые стороны:
Стараться меньше допускать описок, тк автодополнения кода и подсветки ошибок может и не быть
",Яндекс Медиалаб
861,259,2906,101,SPT-15540,4,TECH,Android,RUSSIAN,J2,DONE,"2022-07-14 07:00:04","2022-07-15 07:00:00",75.0,"В целом хорошие и полные ответы. На уровень M ответил. Есть пробелы по некоторым темам: rx subjects, REST, структуры данных

",Тинькофф Банк
863,168,10123,1284,SPT-15538,3,TECH,QAManual,RUSSIAN,,DONE,"2022-07-14 06:19:38","2022-07-14 13:30:00",91.0,"Сильные стороны: теория

Слабые стороны: докер
, линукс, опыт

",Ростелеком - Контакт Центр
865,409,7682,381,SPT-15535,2,TECH,SystemAnalyst,RUSSIAN,M1,DONE,"2022-07-13 19:10:29","2022-07-18 14:00:00",85.0,"Алия имеет хороший теоретический запас как БА так и СА, но основанный больше на практике. В результате выявления классических теоретических знаний, местами есть пробелы, на которые было обращено внимание.
При этом практический опыт релевантен для проекта и найдет в себе хорошее применение.
",X5 Retail Group. 5POST
867,352,1536,1218,SPT-15530,3,TECH,Java,ENGLISH,M1,DONE,"2022-07-13 16:05:02","2022-07-18 07:00:00",85.0,"Сильные стороны:
NoSql, эстимация, понимание CI/CD 
Слабые стороны:
Проблемы с приведением примеров из своего прошлого опыта
",Quincus
868,156,8475,842,SPT-15527,3,TECH,QAAutomationPython,RUSSIAN,,DONE,"2022-07-13 15:55:47","2022-07-18 11:00:00",92.0,"Сильные стороны: тех скиллы

Слабые стороны: так как надо говорить про несуществующий опыт, не всегда можно описать в подробностях процесс тестирования, желательно улучшить легенду про стэнды, где что развернуто,  на какой стэнд ходят тесты

",МАГНИТ
872,335,3588,488,SPT-15521,2,TECH,iOS,ENGLISH,,DONE,"2022-07-13 14:35:22","2022-07-19 09:00:00",80.0,"Сильные стороны:
Хорошо выражает мысли, приятный в общении, 

Слабые стороны:
Reactive programming
",Space (Neobank)
873,240,4926,259,SPT-15517,2,TECH,UXUI,ENGLISH,S1,DONE,"2022-07-13 14:12:24","2022-07-15 11:00:00",70.0,"Сильные стороны: 
Хорошо были презентованы прошлые проекты. Может рассказать про практический опыт по проведённым процессам. В том числе было рассказано про опыт на позиции Lead Designer.

Слабые стороны:
Иногда ответы на вопросы были затянуты и были разбавлены ""водой"". Объективно ввиду недостатка практики на позиции лида. По топику метрики был слабый ответ - нужно повторить тему. Нужно подготовить больше случаев из практики т.к. позиция предполагает обширный опыт, который предполагает, как хорошие, так негативные кейсы - что демонстрирует опыт. Нужно быть готовым продемонстрировать артифакты(обезличенные, без нда)",Yara International
874,267,7623,1284,SPT-15515,2,TECH,Java,RUSSIAN,,DONE,"2022-07-13 13:56:36","2022-07-15 06:00:00",60.0,"Сильные стороны:
некоторые задачи решает исходя из предыдущего опыта, но опять же не может объяснить почему так
Слабые стороны:
работает с технологиями не вдаваясь в подробности, что там под капотом
",Ростелеком - Контакт Центр
875,131,665,488,SPT-15512,4,TECH,iOS,ENGLISH,,DONE,"2022-07-13 13:27:32","2022-07-15 08:00:00",80.0,"Сильные стороны:
Умеет подать материал
Слабые стороны:
Есть какая-то неуверенность, проскакивают слова на русском
",Space (Neobank)
876,436,11949,538,SPT-15511,2,TECH,React,ENGLISH,M2,DONE,"2022-07-13 13:09:43","2022-07-15 10:00:00",95.45,"Сильные стороны: Good React basic knowledge, pretty good soft skills

Слабые стороны: React Fiber, requestAnimationFrame, requestIdleCallback

",Sternwald Group
877,398,7607,195,SPT-15510,1,TECH,Java,RUSSIAN,,DONE,"2022-07-13 13:08:22","2022-07-14 06:00:00",55.0,"Сильные стороны: Docker

Слабые стороны: Kubernetes, SQL

",Философия ИТ
878,121,3790,14,SPT-15507,4,TECH,DevOps,RUSSIAN,M3,DONE,"2022-07-13 12:21:21","2022-07-14 10:00:00",75.0,"Сильные стороны:

Слабые стороны:
IaC(terraform)
",inDriver
879,250,2822,1284,SPT-15506,2,TECH,QAManual,RUSSIAN,,CANCEL,"2022-07-13 12:14:58","2022-07-14 13:30:00",,"Сильные стороны:

Слабые стороны:

",Ростелеком - Контакт Центр
883,316,3025,1284,SPT-15499,3,TECH,React,RUSSIAN,,DONE,"2022-07-13 11:27:40","2022-07-15 06:00:00",80.0,"Сильные стороны:
VirtualDOM
React Fiber
Class Component LCM
React portals 
React class static methods 
Class Pure Component 
React render prop 
HOC
React hooks rules
Custom hook example 
React context vs redux
Pure function
Redux Data Normalization
React Optimization 
JS область видимости
JS closure
JS context (this)

Слабые стороны:
This.setState
useRef vs useState
",Ростелеком - Контакт Центр
