"id","jira_parent_id","candidate_id","project_id","ticket_number","interview_number","interview_type","interview_technology","interview_language","interview_seniority_level","task_status","task_created_date","interview_date","subjective_readiness","interviewer_comment"
284,,,,SE-29707,,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 10:38:34","2022-07-14 03:00:00",85.0,"""The candidate has improved his performance a lot. He has managed to present himself in a good light and highlight his strengths. He prepared a brilliant self-presentation and handled most of the questions very well. Artiom is outgoing and friendly. His English is a bit faulty but very well comprehensible.
I'd just point out the following:
1. an interview is a formal conversation so one has to be careful with wording: swear words are unacceptable; it's better to ask questions starting with I'd like to know/I was wondering (rather than I wanna know)
2. try thinking of some situations from the experience that showcase the problem-solving skills (some technical problems/problems with people or team/with deadlines... or some mistakes that you've made). If you tell a story and explain how you solved the problem or what you've learnt thanks to it, it makes the answers more grounded and informative
3. see my comments regarding the English language in the previous message""			"
285,,,,SE-29654,,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 06:58:41","2022-07-15 10:00:00",68.0,"Darko is a candidate with good experience and nice soft skills, he is eager to answer the questions and to share information about his background. Darko's English level is good enough to communicate with the interviewer without any difficulties. Still there was the point of camera absence, that's why I recommend having one more run. I wish Darko good luck!			"
286,,,,SE-29614,,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 04:07:15","2022-07-14 04:56:00",82.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - try to find out a bit more about the company and pay attention to using the Past and Present Simple tenses (sometimes the Present is used in stories about the past)			"
287,,,,SE-29411,,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 10:00:50","2022-07-12 10:00:00",71.0,"Timofei is a candidate with nice soft skills and extensive experience, he is friendly, open and ready to keep the conversation going. His self- presentation was quite good, still I recommend having one more run, so that the candidate feels more confident about the structure and the flow. Here are some points to consider: 1)check your camera because the image was a bit blurred 2)try to fix yourself in a comfortable position so that you don't move all the time as it distracts attention 3)revise design patterns 4)when you speak about your strong and weak points remember to provide vivid examples and proof from your life/ professional experience  5)we use Present Perfect when we talk about sth that started in the past and is still going on  6)pay attention to the pronunciation of the words 'recruiter/ component/ micro. I wish Timofei good luck!			"
288,,,,SE-29391,,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 09:13:52","2022-07-18 11:00:00",84.0,"Saied is a candidate with good experience and great soft skills, he is open, friendly and eager to keep the conversation going. His self-presentation was well-structured, logical, detailed, contained relevant information. The candidate's level of English is high enough to communicate without any problems. Some points to pay attention to: 1)remember to ask polite return questions to the interviewer  2)Try to get information about the upcoming project  3)pay attention to the pronunciation of the words ' developer/development/analysis/analyst'  4)word formation 'theory - theoretically, to trust - trustworthy'. I wish Saied good luck!			"
289,,,,SE-29369,,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 07:36:17","2022-07-12 11:30:00",80.0,"Very strong performance, fluent coherent speech, detailed answers, the only remark - make sure that the self-presentation matches the structure in the chat			"
290,,,,SE-29316,,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 04:49:53","2022-07-12 09:00:00",83.0,"Sanzhar is a candidate with strong soft skills and good English level, he is open, friendly and easy to talk to. His self-presentation was well-structured, detailed and contained relevant information. He managed to underline his strong points as well as weaknesses. Some points to pay attention to: 1)we use Present Perfect to talk about experience, Past Simple for actions that happened at a definite moment in the past  2)pronunciation of the word 'colleague'. I wish Sanzhar good luck!			"
291,,,,SE-29302,,SOFT,,ENGLISH,,RESOLVED,"2022-07-11 03:50:49","2022-07-13 04:00:00",63.0,"Artiom is a candidate with nice soft skills, he is open, friendly and ready to keep the conversation going. Still there are some points to take into account: 1)Check the structure of self-presentation one more time: here your task is to speak about your professional background and experience, briefly cover the companies and projects you were working on, finally you need to speak about your latest project in detail (make use of the STAR plan - situation/ task/ actions/ result+ you can mention here some challenges and how you dealt with them)  2)take care with the pronunciation of the words 'Bachelor/ retrospective/  3)remember that we use Present Perfect for sth that started in the past and is still going on  4)experience - is an uncountable noun   5)remember how to deal with the situation when you're not ready to answer the question (about design patterns or SOLID). I recommend Artiom having one more run so that he can feel more confident. I wish Artiom good luck!			"
292,,,,SE-29121,,SOFT,,ENGLISH,,RESOLVED,"2022-07-07 07:01:43","2022-07-11 05:00:00",81.0,"Dilshod is a candidate with nice soft skills, good experience, he is friendly and ready to keep the conversation going. His self-presentation was well-structured and detailed enough. Some points to pay attention to: 1)remember to ask return questions to the interviewer   2)take care with your active hand gestures  3)generate particular questions to the customer, be ready with them in advance. I wish Dilshod good luck!			"
293,,,,SE-29079,,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 11:36:53","2022-07-08 04:10:00",71.0,"The candidate is a professional with an extensive experience and background. He tries to do his best and keep the conversation going. Beka's speech is rather fluent and coherent. Yet I would recommend him to work on the pronunciation of some words given in the chat, use fillers (see them in the chat), expand vocabulary and work on verb patterns (infinitive), Conditional 3 and singular/plural forms of verbs. Regarding the presentation, he should work on the following action points: 1) use the structure of self-presentation (see it in the chat) and include the description of his tech stack; 2) make sure he sounds beneficial and does not criticize the employer or the product, thus he should sound more positive; 3) prepare the description of the strengths and provide work related examples; 4) point out YOUR roles and responsibilities on the projects. Besides, he should be more precise concerning the question 'Why are you a good fit for this position?' and provide a detailed answer. I would also recommend him to use a formal way of communication (avoid inappropriate words), keep eye contact and learn a bit more information about the project if possible. I suppose one more interview simulation is necessary to gain more experience. Good luck!			"
294,,,,SE-29030,,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 08:20:05","2022-07-07 10:00:00",86.0,"Yaroslav is a strong candidate with good soft skills, he is very friendly, open and ready to keep the conversation going. His self-presentation was well-structured, detailed and contained all relevant information. Yaroslav's English is high which enables him to communicate without any problems. Still there are some points to pay attention to:1)remember to ask return questions to the interviewer, it makes communication more polite  2)some language points:  1. check pronunciation of the words 'event/applicable/manner;  2. to be LUCKY - use the adjective, not an adverb  3. 'time' is an uncountable noun  4.check the worder - to manage sth better  4. AT the weekend. I wish Yaroslav good luck!			"
295,,,,SE-29002,,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 05:20:04","2022-07-11 04:00:00",63.0,"Victor is a candidate with nice soft skills and good experience, he is open, ready to answer the questions, but needs a bit more confidence. Hrere are some points for improvement: 1)Remember to ask polite return questions to the interviewer - it helps to build rapport  2)work on your look and background  3)study one more time the structure of self-presentation  4)remember to tell about the technologies, methodology you've worked with  5)revise SOLID   6)we use past simple for past actions and Present Perfect for sth that started in the past and is still true  7)'knowledge' is uncountable.  I advise Victor to take all the points into account and good luck!			"
296,,,,SE-28983,,SOFT,,ENGLISH,,RESOLVED,"2022-07-06 04:14:11","2022-07-08 03:00:00",64.0,"Arthur is a candidate with nice soft skills and personal qualities, he has quite good level of English. Still there are some points to improve:1)At the stage of a small talk it's important not to forget asking return questions to the interviewer  2)I recommend improving backgroun, sound and internet connection - as there were some issues  3)try to control your gestures 4)check the structure of self-presentation one more time, have a look at the timing, information that should be included  5)when you answer the questions remember to finish them, as it is not clear for the interviewer what you wanted to say without your final words   6)make use of 'That's it/ that's what I wanted to share with you' phrases when you finish some block of information - it helps to understand that you're ready to move on to the next point 7)revise SOLID and design patterns. I wish Arthur good luck!			"
297,,,,SE-28938,,SOFT,,ENGLISH,,CANCELED,"2022-07-05 10:59:31",,,
298,,,,SE-28891,,SOFT,,ENGLISH,,RESOLVED,"2022-07-05 06:33:37","2022-07-07 08:00:00",85.0,"Ashis is a candidate with great soft skill and extensive experience, he is open, friendly and ready to support the conversation. He has good level of the English level which enables him to communicate without any poblems. The self-presentation structure was good, just for the sake of time I recommend speaking about two latest projects. I wish Ashis good luck!			"
299,,,,SE-28815,,SOFT,,ENGLISH,,RESOLVED,"2022-07-04 11:30:13","2022-07-05 10:00:00",60.0,"The overall impression of the conversation is positive, the candidate is a great professional, with extensive professional background and experience; also with good communication skills: he can support small talk and establish rapport with the interviewer. Currently the candidate has to work on the following points: 1. Improve your self-presentation (use the pattern in the chat); 2. Try to give more elaborate answers to the questions, provide more details concerning your professional experience; 3. Don't forget to keep eye contact with the interviewer; 4. Think over the answer about your strengths & weaknesses (don't forget to say HOW you're working on your weakness). In general, I would recommend the candidate to have one more training job interview to prepare better and feel more confident next time. 			"
300,,,,SE-28804,,SOFT,,ENGLISH,,RESOLVED,"2022-07-04 11:01:55","2022-07-06 05:00:00",65.0,"George is a candidate with nice soft skills, he remembered to ask return questions to the interviewer and eagerly participated in general talk. Still self-presentation part needs improvement, check the structure one more time, pay attention to the information that should be included into the speech. Some language points to pay attention to: 1)pronunciation of the words 'event/ developer';  2)we use Past Simple for the actions that happened in the definite past, but we use Present Perfect for our experience that is obviously connected with the present. I wish George good luck!			"
301,,,,SE-28773,,SOFT,,ENGLISH,,RESOLVED,"2022-07-04 08:35:18","2022-07-05 10:00:00",84.0,"Hugo is the candidate with good soft skills, he is open, friendly and ready to keep the conversation going. His self-presentation was well-structured, detailed and relevant. The candidate's English level is high, fluent and grammatically correct. I wish Hugo good luck!			"
302,,,,SE-28731,,SOFT,,ENGLISH,,CANCELED,"2022-07-04 05:24:02","2022-07-06 09:00:00",,
303,,,,SE-28695,,SOFT,,ENGLISH,,RESOLVED,"2022-07-02 09:55:31","2022-07-05 04:15:00",70.0,"The candidate is a  friendly and sociable person, he is good at small talk; he is a professional with an extensive experience and background. His fluency is good enough, can make occasional pauses for reflection, he should use questions for clarification (given in the chat), use fillers and closing expressions mentioned above; remember about sequence of tenses, focus on quantifiers (many vs. much). Besides, here are some other action points to work on: 1) follow the structure of self-presentation (follow the link above) and mind its duration (4-5 min); 2) use STAR approach (follow the link above); 3) make sure you can describe your strenghts and provide work related examples; 4) describe your weakness(es) and say which way you are working on it/them; 5) make up 2 relevant questions for the customer and ask them in a polite way. In addition to that, I would like to recommend Roman to be more confident and try to reduce anxiety by relaxing before an interview. In general, I suppose one more interview simulation is necessary to brush everything up. Good luck!			"
304,,,,SE-28629,,SOFT,,ENGLISH,,RESOLVED,"2022-07-01 05:54:09","2022-07-06 08:00:00",70.0,"""The candidate tries to do his best despite the fact that he is anxious. The flow of speech is mostly moderate, there can be some pauses for reflection, thus it is recommended to use fillers and linking expressions noted above. The candidate should focus on the following action points: 1) use STAR approach to describe his project experience and be quite precise in terms of HIS roles, tasks, activity and responsibilities; 2) structure the answers if the question is tricky (do not make them vague); 3) remember not to mention too many weaknesses (1-2 is enough); 4) try to take it easy and try to decrease anxiety before the interview. Besides, it is recommended to use closing expressions (That's it / That's all I wanted to say). He shouldn't focus too much on the fact that he hasn't got any experience concerning a certain technology.
In general, I would recommend him to have one more interview to master his soft skills and gain more confidence.""			"
305,,,,SE-28608,,SOFT,,ENGLISH,,IN_PROGRESS,"2022-07-01 04:02:43",,,
306,,,,SE-28597,,SOFT,,ENGLISH,,RESOLVED,"2022-06-30 12:27:32","2022-07-01 09:00:00",86.0,"Mariusz has outstanding soft skills, he is very friendly, open and ready to keep the conversation going. His self-presentation was good, still I recommend sticking to the time limit which is 5 minutes. Story abpot professional experience was detailed and extensive, remember to use the STAR plan (situation-task-actions-result) when talking about the projects. The cndidate's English is high which enables him to talk to the customer without any problems. I wish Mariusz good luck!			"
307,,,,SE-28549,,SOFT,,,,RESOLVED,"2022-06-30 08:35:25","2022-06-30 11:00:00",80.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - remember to retain the eye conctact and keep the hands off the face			"
308,,,,SE-28495,,SOFT,,ENGLISH,,RESOLVED,"2022-06-29 16:12:57","2022-07-01 08:00:00",87.0,"Timur is the candidate with strong soft-skills and good level of the English language. His self-presentation was well-structured and detailed with all relevant information about his experience. There are some points to pay attention to :1)we use Past Simple for actions that started and finished in the past, Present Simple is for our daily actions and routines 2)healthy vs health  3)an interesting book/ to be interested in the book. I wish Timur good luck!			"
309,,,,SE-28444,,SOFT,,ENGLISH,,RESOLVED,"2022-06-29 09:02:18","2022-06-29 11:00:00",87.0,"Jacek is a strong candidate with good soft skills, well-structured self-presentation and confident way of speaking about his experience. He is ready to keep the conversation going, the English language level is high which makes it possible to communicate with the customer. I wish Jacek good luck!			"
310,,,,SE-28394,,SOFT,,ENGLISH,,RESOLVED,"2022-06-29 04:03:39","2022-06-30 03:00:00",86.0,"Vladislav has really nice soft skills, it's easy and pleasant to talk to him, he is ready to keep the conversation going. The candidate's self-presentation structure was good, detailed  and filled with relevant informaion. Vladislav's English level is high, which makes it possible to communicate with the customer without any problems. The only thing to recommend is to use phrases like 'Let me think/ it's a tricky/ challenging question...' when you need some time to think over the question; pay attention to the pronunciation of the word 'colleague'. I wish Vladislav good luck!			"
311,,,,SE-28371,,SOFT,,ENGLISH,,IN_PROGRESS,"2022-06-28 11:45:40",,,
312,,,,SE-28354,,SOFT,,ENGLISH,,RESOLVED,"2022-06-28 09:56:52","2022-07-05 08:00:00",84.0,"David is a candidate with nice soft skills, he is friendly, open and ready to keep the conversation going. David's self-presentation was well-structured, detailed and contained all relevant information. His English level is good  which enables him to talk on any topic without problems. I wish David good luck!			"
313,,,,SE-28324,,SOFT,,ENGLISH,,RESOLVED,"2022-06-28 07:14:28","2022-06-29 08:00:00",80.0,"""The candidate is  a professional with extensive experience and background. He has good soft skills and can keep the conversation going. At the beginning of the interview he was a bit anxious, but futher he sounded quite confident. His language skills help him be understood with no difficulty. However, occasionally it happens that he can forget a word, yet he is skilled enough to find a way out. I would definitely recommend him to use questions for clarification (I’m sorry, could you say that again? / Could you explain what you mean by…?  Do you mean ..?) in case some words/ideas are not quite clear. Besides, it is important to use closing expressions (That's it / That's all I wanted to say / That's how I see it) to sound proficient; it is important to use expressions to 'buy' some time (Well, I can’t recall the situation like that at this moment, but it seems to  me that…/ I think, I’ve deﬁnitely had some situation like this, give me a sec to  recall). He should pay attention to his grammar and work on Conditionals 1-3 as well as countable (many issues) and uncountable nouns (some advice); pay attention to the pronunciation of some words( whole /həʊl/; company /ˈkʌmpəni/; methodology /ˌmeθəˈdɒlədʒi /; colleague /ˈkɒliːɡ/) and mind, please, verb and preposition patterns (listen to my colleagues; pay attention to smb); focus on expressions (develop my skills). As for the interview simulation, the candidate should work on the following action points: 1) use a closing expression at the end of the presentation (That's it. If you have any questions, I am ready to answer); 2) use STAR approach (see the example in the chat) and remember to mention the outcome of the project; 3) make sure you describe the way you are working on your weaknesses; 4) use a polite way of asking questions (Could you please tell me / I would appreciate if you tell me...). It is recommended to learn more information about the upcoming project.
In general, the impression is positive, despite having tech problems (which should be handled in advance). I believe the candidate is ready for an interview after dealing with the action points mentioned above. Good luck!""			"
314,,,,SE-28300,,SOFT,,ENGLISH,,RESOLVED,"2022-06-28 04:25:12","2022-06-30 11:00:00",80.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - remember to retain the eye conctact and keep the hands off the face			"
315,,,,SE-28297,,SOFT,,ENGLISH,,RESOLVED,"2022-06-28 04:15:16","2022-07-01 03:00:00",87.0,"Victor has a really good and well-structured self-presentation with a detailed story about his work experience. His English level is high which allows to talk to the interviewer without any problems. The only point to take into account is to support small talk, at the very beginning when the interviewer asked questions 'How are you/How are you doing today?' it's preferable to ask some questions in return. I wish Victor good luck!			"
316,,,,SE-28272,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 11:41:52",,,"Yan is approximately 70 % ready for the interview. Can present himself, talk about his strenghts and weaknesses; reacts well to the tricky questions. In terms of the language: Yan needs to work on his fluency and practice more before the real  interview. Also it will be useful to practise answering different technical questions in English. In general, the impression about him is very positive, he was doing the homework and actively participated at the lessons. He has good soft skills. Good luck!"
317,,,,SE-28268,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 11:12:43","2022-06-28 06:00:00",82.0,"The candidate is ready for an interview with the customer after just small improvements as most of the remarks made earlier were taken into considerationn and worked on. Most of the blocks and skills are are of a high level, but some minor improvements are needed - make sure your speech about weaknesses doesn't overweigh the strengths			"
318,,,,SE-28265,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 10:56:05","2022-06-29 06:00:00",85.0,"Rafael has very good soft-skills, he is friendly, open and ready to keep the conversation going. The candidate is good at small talk, remembers to ask back polite questions to the interviewer. His English level is quite good and enough to speak with the customer without problems, still there are some points to pay attention to: 1)pronunciation of the words 'analyst, communicative'  2)take care with the preposition 'to go FOR a walk'   3)pay attention to the formation of the comparative degree ' easier/ more interesting'. I wish Rafael good luck!			"
319,,,,SE-28242,,SOFT,,ENGLISH,,CANCELED,"2022-06-27 08:57:26",,,
320,,,,SE-28237,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 08:45:18","2022-06-29 04:10:00",78.0,"""The candidate has good English and soft skills and is almost ready for the interview. There are some tips to pay attention to:

1)should be ready for the small talk (about the weather etc), be positive and make sure to ask the ‘How are you?’ question back; 
2)should remember the structure of self-presentation and follow it; 
3)should think about the situations (the biggest challenge, the biggest success and a negative situation) using the STAR plan in the chat(S- situation, T-task, A- activity, R-result);
4)do not forget to use closing phrases such as ‘That’s it/ That’s all I wanted to say / I am ready to answer your other questions’ etc. 
5)should write down the questions to the customer using polite phrases from the chat. 
6)should be better prepared to talk about why you are the fit for this position (the example of the answer is in the chat);
7)should practise answering different unexpected and tricky questions as he didn’t always undertand the meaning of the question;
8)should pay attention to the pronounciation of the words: technology, developer, architect and to the phrase ‘make a desicion’.
In general, the candidate sounds professional.
I wish him good luck at the real interview with the customer!""			"
321,,,,SE-28225,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 08:06:04","2022-06-29 08:00:00",87.0,"Viachesalv is a strong candidate with nice soft skills, he is ready to keep the conversation going, he is open and friendly. The candidate's self-presentation was detailed and informative. As for the speech about project experience, I recommend keeping in mind STAR plan (situation-task-actions-result), it will help to organize the story better. The english language level is good, fluent, Viacheslav is ready to discuss any topic in English, still there are some points to consider: 1)we use less with uncountable nouns, fewer - with countable nouns  2)on THE one hand, on THE other hand  3)to impact sth/ to have an impact on sth. I wish Viacheslav good luck!			"
322,,,,SE-28219,,SOFT,,ENGLISH,,RESOLVED,"2022-06-27 07:39:07","2022-06-29 04:00:00",91.0,"Alexey is the candidate with outstanding soft skills which help him to build rapport immediately. His self-presentation was well-structured, full of relevant and sorted information that gives a chance to see how highly experienced the candidate is. Alexey's English level is high and enables him to talk with team members or the customer without any problems. I recommend paying attention to the necessity of keeping more eye-contact, especially when answering additional questions. I wish Alexey good luck!			"
323,,,,SE-28083,,SOFT,,ENGLISH,,RESOLVED,"2022-06-24 04:32:58",,,"Serge is approximately 50 % ready for an interview, he has good soft skills and good sense of humour, can present himself, gives detailed answers to the questions asked. In general, the impression is positive. Good luck!"
324,,,,SE-28082,,SOFT,,ENGLISH,,RESOLVED,"2022-06-24 04:31:35",,,"Artur is approximately 60 % ready for an interview, he has good soft skills and good sense of humour, can present himself, gives detailed answers to the questions asked.  In general, the impression is positive. Good luck!"
325,,,,SE-28070,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 13:39:20","2022-06-27 11:00:00",83.0,"Svitlana is a good candidate with nice soft skill. She demonstrated well-structured self-presentation and detailed information about her previous experience. She is open, friendly and ready to participate in conversation. Her English is good, still there are some points to pay attention to: 1)take care with Passive vs active voice  2)pronunciation of the word ""methodology""  3)to concentrate ON sth  4)we use Present Perfect for the actions that have just/recently happened. One more tip is to keep eye-contact with the interviewer. I wish Svitlana good luck!			"
326,,,,SE-28068,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 12:21:51","2022-06-24 11:00:00",85.0,"Dmitry is a good candidate with nice soft skills, he is ready to keep the conversation going, he is friendly and open. His self-presentation was well-structured, quite detailed and consistent. Dmitry has included the information about the projects and technologies he worked with. Some language points to take care of :1)we use Present Perfect about sth that started in the past and is still true  2)in questions with prepositions - prepositions take the final position ""Which time zone do you work in"". I wish Dmitry  good luck on the way to the next project!			"
327,,,,SE-28030,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 08:59:22","2022-06-27 04:00:00",83.0,"Dmitry is a good candidate with good soft skills. His self-presentation was well-structured and detailed, his answers were informative enough. Dmitry's presentation about his professional experience was extensive, still I recommend answering the question about challenges in more detail. Some language points to pay attention to :1)the difference between the words last and latest (when talking about the project); 2)methodology (the composition of the word). I wish Dmitry good luck!			"
328,,,,SE-28022,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 08:38:29","2022-06-27 09:00:00",71.0,"Alesia is a candidate with nice soft skills which need to be revealed and shown to the interviewer. Here I have some pieces of advice: 1)small talk - remember to return polite questions to the customer, it helps to build rapport  2)check your self-presentation and presentation of your professional background one more time - it should be more detailed, include information about your activities/tasks/ challenges and results, it's important that YOU present this information yourself in a well-structured manner  3)try to generate more information about about your hobbies and interests, include 1-2 nice cases of your passtime, don't sound abstract  4)concetrate on the answers to tricky questions - you should be ready to think hypothetically, there are no right or wrong answers, there is your answer that you are to develop and perform. In general, I advise Alesia to take into account my recommendations, be more enthusiastic and do her best! Good luck!			"
329,,,,SE-27981,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 05:37:20","2022-06-27 05:00:00",67.0,"Sergey is a good candidate with presumably good soft skills which need uncovering! First of all, I recommend working on the self-presentation structure (It should take no more thn 4-5 miutes), secondly, work on the presentation of your project experience, you can tell about two latest projects using the STAR plan (situation-task-actions-result). Some language points: 1)we use Past Simple for actions that happened in the Past and we know exactly when, but we use Present Perfect for experience  2)Business ANALYST - pay attention to the word formation  3)check pronunciation of the word Tech  4)to have a look AT. I recomment Sergey to pay attention to the commentaries and do his best! Good luck!			"
330,,,,SE-27957,,SOFT,,,,RESOLVED,"2022-06-23 03:16:15","2022-06-23 08:00:00",85.0,"Никита рассказал структурную презентацию, в которую мы внесли небольшие изменения (всё, что связано с проектами объединяем в один блок). Помним, что наша цель - подсветить сильные стороны своего опыта. Обращаем внимание на свободное владение информацией (чтобы текст не звучал заученно), при  дополнительных вопросах Никита не терялся, находил ответы. Готов при закреплении с тренером по-английски.			"
331,,,,SE-27955,,SOFT,,ENGLISH,,RESOLVED,"2022-06-23 02:21:13","2022-06-24 03:00:00",85.0,"Siroj is a strong candidate with great soft skills, he is ready to present a well structured speech about himself and his professional experience. His English level is high which allows Siroj to keep any topic going. I recommend the candidate not to forget about asking back questions to the interviewer at the small talk stage, work on the background and to eliminate additional sounds. I wish Siroj good luck in achieving his goals!			"
332,,,,SE-27945,,SOFT,,ENGLISH,,CANCELED,"2022-06-22 12:11:31","2022-06-24 09:00:00",,
333,,,,SE-27943,,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 11:53:51","2022-06-24 08:00:00",85.0,"Vladislav is a good candidate with nice soft skills, he easily builds rapport with the interviewer. Vladislav'e self-presentation was well-structured, detailed and cohesive. He presented all the information about his latest project, described his self-development plan which makes him appear motivated and interested. Some language points to take into account: 1)last vs latest  2)break-broke-broken  3)pronunciation of the words 'component, routine'. I wish Vladislav good luck and success at is future steps!			"
334,,,,SE-27936,,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 11:28:14",,,"Serge is approximately 50 % ready for an interview, he has good soft skills and good sense of humour, can present himself, gives detailed answers to the questions asked. In general, the impression is positive. Good luck!"
335,,,,SE-27917,,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 09:54:14","2022-06-23 10:00:00",61.0,"Artur is not ready for the job interview with a customer in English. Here are my recommendations:  1)study carefully the information on the self-presentation structure, as it will help you to build detailed and logical talk  2)extend the information on your experience with projects, as it the best way to show and to prove that you are a good candidate for the position  3)the English language needs improvement (rammar, speaking and vocabulary), take care to se grammar tenses as they help to order the events in the story. I recommend Artur to take all the points into consideration and do his best. Good luck!			"
336,,,,SE-27896,,SOFT,,ENGLISH,,RESOLVED,"2022-06-22 07:52:57","2022-06-23 06:00:00",85.0,"The candidate has strong soft skills, he is ready to keep the conversation going, remembers to ask back questions to the interviewer. Jakub has demonstarted knowledge of the self-presentation structure and this fact made his speech logical, detailed and easy to follow. The level of English is high which allows the candidate to take part in any type of communication without difficulties. Still there are some points to pay attention to : check pronunciation of the words ""industry, management, request"", remember to Present Simple for regular events. I wish Jakub good luck at his future interviews.			"
337,,,,SE-27842,,SOFT,,ENGLISH,,RESOLVED,"2022-06-21 11:37:58","2022-06-24 08:00:00",80.0,"The candidate is ready for an interview with the customer after small improvements. Most of the blocks and skills are are of a high level, but some minor improvements are needed - remember to close  your self-presentation with a phrase ""That's it from my side. Now I'm ready to answer your questions"", remember to mention how you're working on your weaknesses and keep the eye contact			"
338,,,,SE-27781,,SOFT,,ENGLISH,,RESOLVED,"2022-06-21 06:27:15","2022-06-22 11:00:00",89.0,"Serhii is ready for the job interview with a customer in English. He has performed a well-structured self-presentation and told about the projects using the STAR plan. The candidate was ready to interact, was interested and enthusiastic, he asked nice and logical questions to the customer, which proves that he is into the project he is applying for. Serhii's English is good, still there are some points to take care of :1)we use Present Perfect not Past Simple to talk about experience  2)check pronunciation of the words 'hour, literature'  3)At the same time  4)tell - told. I wish Serhii good luck at his future interviews.			"
